h	あ
k	い
j	う
；	え
l	お
u	や
i	ゆ
o	よ
n	ん
m	っ
p	ー
y	■
t	□
□h	ぁ
□k	ぃ
□j	ぅ
□；	ぇ
□l	ぉ
□u	ゃ
□i	ゅ
□o	ょ
□、	，
□。	．
□・	／
eh	か
ek	き
ej	く
e；	け
el	こ
eu	きゃ
ei	きゅ
eo	きょ
en	かん
em	かっ
ep	かー
ey	ヶ
e{composition-separator}	か
e{any character}	か{any character}
sh	さ
sk	し
sj	す
s；	せ
sl	そ
su	しゃ
si	しゅ
so	しょ
sy	しぇ
sn	さん
sm	さっ
sp	さー
s{composition-separator}	さ
s{any character}	さ{any character}
fh	た
fk	ち
fj	つ
f；	て
fl	と
fu	ちゃ
fi	ちゅ
fo	ちょ
fy	ちぇ
fn	たん
fm	たっ
fp	たー
f{composition-separator}	た
f{any character}	た{any character}
dh	な
dk	に
dj	ぬ
d；	ね
dl	の
du	にゃ
di	にゅ
do	にょ
dn	なん
dm	なっ
dp	なー
d{composition-separator}	な
d{any character}	な{any character}
gh	は
gk	ひ
gj	ふ
g；	へ
gl	ほ
gu	ひゃ
gi	ひゅ
go	ひょ
gn	はん
gm	はっ
gp	はー
g{composition-separator}	は
g{any character}	は{any character}
vh	ま
vk	み
vj	む
v；	め
vl	も
vu	みゃ
vi	みゅ
vo	みょ
vn	まん
vm	まっ
vp	まー
v{composition-separator}	ま
v{any character}	ま{any character}
rh	ら
rk	り
rj	る
r；	れ
rl	ろ
ru	りゃ
ri	りゅ
ro	りょ
rn	らん
rm	らっ
rp	らー
r{composition-separator}	ら
r{any character}	ら{any character}
wh	わ
wk	うぃ
wj	ヴ
w；	うぇ
wl	を
wu	ゐ
wi	ゑ
wo	うぉ
wy	ゎ
wn	わん
wm	わっ
wp	わー
w{composition-separator}	わ
w{any character}	わ{any character}
qh	が
qk	ぎ
qj	ぐ
q；	げ
ql	ご
qu	ぎゃ
qi	ぎゅ
qo	ぎょ
qn	がん
qm	がっ
qp	がー
q{composition-separator}	が
q{any character}	が{any character}
zh	ざ
zk	じ
zj	ず
z；	ぜ
zl	ぞ
zu	じゃ
zi	じゅ
zo	じょ
zy	じぇ
zn	ざん
zm	ざっ
zp	ざー
z{composition-separator}	ざ
z{any character}	ざ{any character}
ch	だ
ck	ぢ
cj	づ
c；	で
cl	ど
cu	ぢゃ
ci	ぢゅ
co	ぢょ
cy	でぃ
cn	だん
cm	だっ
cp	だー
c{composition-separator}	だ
c{any character}	だ{any character}
bh	ば
bk	び
bj	ぶ
b；	べ
bl	ぼ
bu	びゃ
bi	びゅ
bo	びょ
bn	ばん
bm	ばっ
bp	ばー
b{composition-separator}	ば
b{any character}	ば{any character}
ah	ぱ
ak	ぴ
aj	ぷ
a；	ぺ
al	ぽ
au	ぴゃ
ai	ぴゅ
ao	ぴょ
an	ぱん
am	ぱっ
ap	ぱー
a{composition-separator}	ぱ
a{any character}	ぱ{any character}
xh	ふぁ
xk	ふぃ
xj	ふゅ
x；	ふぇ
xl	ふぉ
xy	てゅ
xu	てぃ
xi	でゅ
xo	でぃ
xn	ふぁん
xm	ふぁっ
xp	ふぁー
x{composition-separator}	ふぁ
x{any character}	ふぁ{any character}
あt	ぁ
いt	ぃ
うt	ぅ
えt	ぇ
おt	ぉ
やt	ゃ
ゆt	ゅ
よt	ょ
[	「
]	」
{lbracket}	『
{rbracket}	』
■1	○
■！	●
■2	▽
■”	▼
■3	△
■＃	▲
■4	□
■＄	■
■5	◇
■％	◆
■6	☆
■＆	★
■7	◎
■’	￡
■8	￠
■（	【
■9	♂
■）	】
■0	♀
■＿	∴
■＝	≒
■＋	±
■￥	＼
■｜	∥
■｀	´
■~)〒
■|)≥
■`	´
■〜	¨
■q	゛
■p	～
■j	↓
■h	←
■k	↑
■l	→
■:	゜
■'	'
■"	“
■n	′
■m	″
■；	；
■,	，
■<	≦
■.	．
■>	≧
■/	／
■?	�
■e	々
■t	〆
■s	ヽ
■d	ゝ
■f	〃
■g	‐
■c	〇
■x	×
■a	※
■b	°
■w	w
